2022-09-12 15:17:42,364 | INFO  | Listening for connections at: ssl://127.0.0.1:17446?maximumConnections=500&wireFormat.maxFrameSize=104857600&needClientAuth=true&transport.enabledCipherSuites=TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384&transport.enabledProtocols=TLSv1.2 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-09-12 15:17:42,364 | INFO  | Connector sslAuth started | org.apache.activemq.broker.TransportConnector | main
2022-09-12 15:17:42,364 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-62139-1662976057858-1:1) started | org.apache.activemq.broker.BrokerService | main
2022-09-12 15:17:42,410 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2022-09-12 15:17:46,442 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2022-09-12 15:17:49,254 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2022-09-22 20:00:11,335 | INFO  | Apache ActiveMQ 5.14.4 (dss.batch.broker.primary, ID:NCI-IT-P-DLP-FS-62139-1662976057858-1:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-09-22 20:00:11,350 | INFO  | Connector stomp+ssl stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-09-22 20:00:11,413 | INFO  | Connector sslAuth stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-09-22 20:00:11,475 | INFO  | JobSchedulerStore: E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\scheduler stopped. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | ActiveMQ ShutdownHook
2022-09-22 20:00:11,491 | INFO  | Broker Plugin org.apache.activemq.broker.util.RedeliveryPlugin stopped | org.apache.activemq.broker.BrokerPluginSupport | ActiveMQ ShutdownHook
2022-09-22 20:00:11,491 | INFO  | PListStore:[E:\Program Files (x86)\Websense\Data Security\MessageBroker\service-config\..\data\dss.batch.broker.primary\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2022-09-22 20:00:11,491 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-09-22 20:00:11,491 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-09-22 20:00:11,491 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
